name,year_end,position,height,weight,birth_date
Alex Abrines,2018,G-F,6-6,190,1993
Quincy Acy,2018,F,6-7,240,1990
Jordan Adams,2016,G,6-5,209,1994
Steven Adams,2018,C,7-0,255,1993
Bam Adebayo,2018,C-F,6-10,243,1997
Jeff Adrien,2015,F,6-7,245,1986
Arron Afflalo,2018,G,6-5,210,1985
Maurice Ager,2011,G,6-5,202,1984
Blake Ahearn,2012,G,6-2,190,1984
Alexis Ajinca,2017,C,7-2,248,1988
Josh Akognon,2013,G,5-11,185,1986
Solomon Alabi,2012,C,7-1,251,1988
Furkan Aldemir,2015,F-C,6-10,240,1991
Cole Aldrich,2018,C,6-11,250,1988
LaMarcus Aldridge,2018,F-C,6-11,260,1985
Cliff Alexander,2016,F,6-8,245,1995
Joe Alexander,2010,F,6-8,230,1986
Jarrett Allen,2018,F-C,6-10,234,1998
Kadeem Allen,2018,G,6-3,192,1993
Lavoy Allen,2017,F-C,6-9,260,1989
Malik Allen,2011,F-C,6-10,255,1978
Ray Allen,2014,G,6-5,205,1975
Tony Allen,2018,G-F,6-4,213,1982
Morris Almond,2012,G,6-6,225,1985
Rafer Alston,2010,G,6-2,171,1976
Al-Farouq Aminu,2018,F,6-9,220,1990
Lou Amundson,2016,F,6-9,220,1982
Chris Andersen,2017,F-C,6-10,245,1978
David Andersen,2011,C,6-11,245,1980
Alan Anderson,2017,G-F,6-6,220,1982
Antonio Anderson,2010,G,6-6,215,1985
James Anderson,2016,G-F,6-6,213,1989
Justin Anderson,2018,G,6-6,228,1993
Kyle Anderson,2018,F-G,6-9,230,1993
Ryan Anderson,2018,F,6-10,240,1988
Ike Anigbogu,2018,F-C,6-10,252,1998
Giannis Antetokounmpo,2018,F-G,6-11,222,1994
Thanasis Antetokounmpo,2016,F,6-7,205,1992
Carmelo Anthony,2018,F,6-8,240,1984
Joel Anthony,2017,C,6-9,245,1982
Pero Antic,2015,C-F,6-11,260,1982
OG Anunoby,2018,F,6-8,232,1997
Keith Appling,2016,G,6-1,185,1992
Ryan Arcidiacono,2018,G,6-3,188,1994
Gilbert Arenas,2012,G,6-3,191,1982
Trevor Ariza,2018,F,6-8,215,1985
Hilton Armstrong,2014,F-C,6-11,235,1984
Carlos Arroyo,2011,G,6-2,202,1979
Darrell Arthur,2018,F,6-9,235,1988
Jamel Artis,2018,G-F,6-7,213,1993
Omer Asik,2018,C,7-0,255,1986
Chucky Atkins,2010,G,5-11,160,1974
D.J. Augustin,2018,G,6-0,183,1987
Gustavo Ayon,2014,C,6-10,250,1985
Jeff Ayres,2016,F,6-9,240,1987
Kelenna Azubuike,2012,G,6-5,220,1983
Chris Babb,2014,G,6-5,225,1990
Luke Babbitt,2018,F,6-9,225,1989
Dwayne Bacon,2018,G,6-6,222,1995
Cameron Bairstow,2016,F-C,6-9,250,1990
Ron Baker,2018,G,6-4,220,1993
Wade Baldwin,2017,G,6-4,202,1996
Renaldo Balkman,2012,F,6-8,208,1984
Lonzo Ball,2018,G,6-6,190,1997
Marcus Banks,2011,G,6-2,200,1981
Leandro Barbosa,2017,G,6-3,194,1982
J.J. Barea,2018,G,6-0,185,1984
Andrea Bargnani,2016,F-C,7-0,245,1985
Harrison Barnes,2018,F,6-8,210,1992
Matt Barnes,2017,F,6-7,226,1980
Earl Barron,2015,C,7-0,250,1981
Will Barton,2018,G,6-6,175,1991
Brandon Bass,2017,F,6-8,250,1985
Tony Battie,2012,C-F,6-11,230,1976
Shane Battier,2014,F,6-8,220,1978
Nicolas Batum,2018,F-G,6-8,200,1988
Jerryd Bayless,2018,G,6-3,200,1988
Aron Baynes,2018,C,6-10,260,1986
Kent Bazemore,2018,G-F,6-5,201,1989
Bradley Beal,2018,G,6-5,207,1993
Malik Beasley,2018,G,6-5,196,1996
Michael Beasley,2018,F,6-9,235,1989
Rodrigue Beaubois,2013,G,6-0,170,1988
Marco Belinelli,2018,G-F,6-5,210,1986
Charlie Bell,2011,G,6-3,200,1979
Jordan Bell,2018,F,6-9,224,1995
Raja Bell,2012,G,6-5,204,1976
DeAndre' Bembry,2018,F,6-6,210,1994
Dragan Bender,2018,F,7-1,225,1997
Jonathan Bender,2010,F,6-11,202,1981
Jerrelle Benimon,2015,F,6-8,245,1991
Anthony Bennett,2017,F,6-8,245,1993
Keith Benson,2012,C,6-11,240,1988
Ben Bentil,2017,F,6-9,235,1995
Davis Bertans,2018,F,6-10,210,1992
Patrick Beverley,2018,G,6-1,185,1988
Sim Bhullar,2015,C,7-5,360,1992
Mike Bibby,2012,G,6-1,190,1978
Andris Biedrins,2014,C,6-11,240,1986
Chauncey Billups,2014,G,6-3,202,1976
Khem Birch,2018,C-F,6-9,220,1992
Jabari Bird,2018,G,6-6,197,1994
Bismack Biyombo,2018,C-F,6-9,255,1992
Nemanja Bjelica,2018,F,6-10,240,1988
Tarik Black,2018,C-F,6-9,250,1991
DeJuan Blair,2016,F-C,6-7,270,1989
Steve Blake,2016,G,6-3,172,1980
Antonio Blakeney,2018,G,6-4,197,1996
Andray Blatche,2014,F,6-11,235,1986
Eric Bledsoe,2018,G,6-1,205,1989
