name,injury date,return date,days missed,injury type,age,height,weight,reinjured
Seth Curry,19 March 2021,25 March 2021,6,0,31,6-2,185,0
Garrett Temple,13 March 2021,24 March 2021,11,0,35,6-6,195,0
Myles Turner,22 March 2021,24 March 2021,2,0,25,6-11,243,0
Ben McLemore,16 March 2021,19 March 2021,3,0,28,6-5,195,0
Aaron Gordon,01 February 2021,11 March 2021,38,0,26,6-9,220,0
Taj Gibson,28 February 2021,11 March 2021,11,0,36,6-9,225,0
Maxi Kleber,23 February 2021,25 February 2021,2,0,29,6-10,220,0
Goran Dragic,06 February 2021,24 February 2021,18,0,35,6-3,190,0
Kevon Looney,03 February 2021,23 February 2021,20,0,25,6-9,220,0
Dario Saric,05 February 2021,13 February 2021,8,0,27,6-10,223,0
David Nwaba,31 January 2021,06 February 2021,6,0,28,6-4,209,0
Rajon Rondo,27 January 2021,29 January 2021,2,0,35,6-1,186,0
Alec Burks,02 January 2021,21 January 2021,19,0,30,6-6,214,0
Kentavious Caldwell-Pope,03 January 2021,10 January 2021,7,0,28,6-5,205,0
Jeff Teague,04 January 2021,08 January 2021,4,0,33,6-2,186,0
Nerlens Noel,06 January 2021,08 January 2021,2,0,27,6-11,228,0
JaVale McGee,10 September 2020,12 September 2020,2,0,32,7-0,270,0
Jayson Tatum,12 August 2020,17 August 2020,5,0,22,6-8,205,0
Eric Gordon,31 July 2020,12 August 2020,12,0,32,6-4,215,0
Jarrett Allen,10 August 2020,12 August 2020,2,0,22,6-10,234,0
Goran Dragic,06 August 2020,10 August 2020,4,0,34,6-3,190,1
Meyers Leonard,05 February 2020,31 July 2020,177,0,28,7-1,245,0
Seth Curry,08 March 2020,31 July 2020,145,0,30,6-2,185,1
Garrett Temple,04 March 2020,29 July 2020,147,0,34,6-6,195,1
Kobi Simmons,07 March 2020,09 March 2020,2,0,23,6-5,166,0
D.J. Wilson,06 March 2020,08 March 2020,2,0,24,6-10,234,0
Mario Hezonja,11 February 2020,23 February 2020,12,0,25,6-8,215,0
Dario Saric,02 February 2020,21 February 2020,19,0,26,6-10,223,1
J.J. Barea,05 February 2020,07 February 2020,2,0,36,6-0,185,0
Jamal Murray,16 January 2020,04 February 2020,19,0,23,6-4,207,0
Abdel Nader,15 January 2020,29 January 2020,14,0,27,6-6,230,0
Steven Adams,22 January 2020,25 January 2020,3,0,27,7-0,255,0
Nerlens Noel,06 January 2020,17 January 2020,11,0,26,6-11,228,1
Alex Len,27 December 2019,28 December 2019,1,0,26,7-1,260,0
Kyle Kuzma,11 December 2019,22 December 2019,11,0,24,6-9,220,0
De'Aaron Fox,12 November 2019,17 December 2019,35,0,22,6-3,170,0
Rudy Gobert,25 November 2019,27 November 2019,2,0,27,7-1,245,0
Furkan Korkmaz,23 November 2019,25 November 2019,2,0,22,6-7,185,0
Jahlil Okafor,17 November 2019,24 November 2019,7,0,24,6-11,275,0
Jeremy Lamb,06 November 2019,23 November 2019,17,0,27,6-5,185,0
Jahlil Okafor,16 November 2019,17 November 2019,1,0,24,6-11,275,0
DeAndre Jordan,08 November 2019,10 November 2019,2,0,31,6-11,265,0
Daniel Theis,26 October 2019,30 October 2019,4,0,27,6-9,215,0
Bojan Bogdanovic,25 October 2019,26 October 2019,1,0,30,6-8,216,0
D.J. Wilson,08 May 2019,17 May 2019,9,0,23,6-10,234,1
Tony Snell,28 March 2019,20 April 2019,23,0,28,6-7,200,0
Tony Snell,26 March 2019,28 March 2019,2,0,28,6-7,200,0
Aron Baynes,23 March 2019,24 March 2019,1,0,33,6-10,260,0
Kyle Lowry,14 March 2019,18 March 2019,4,0,33,6-0,205,0
Dante Exum,07 January 2019,11 March 2019,63,0,24,6-6,190,0
Domantas Sabonis,27 February 2019,10 March 2019,11,0,23,6-11,240,0
DeAndre Jordan,24 February 2019,06 March 2019,10,0,31,6-11,265,1
Jahlil Okafor,04 March 2019,06 March 2019,2,0,24,6-11,275,1
Tyus Jones,18 January 2019,22 February 2019,35,0,23,6-2,195,0
Jahlil Okafor,08 February 2019,12 February 2019,4,0,24,6-11,275,1
Rudy Gay,09 February 2019,12 February 2019,3,0,33,6-8,230,0
Jamal Murray,26 January 2019,06 February 2019,11,0,22,6-4,207,1
David Nwaba,26 December 2018,02 February 2019,38,0,25,6-4,209,0
Reggie Bullock,29 January 2019,31 January 2019,2,0,28,6-7,205,0
Kyle Anderson,14 January 2019,28 January 2019,14,0,26,6-9,230,0
Henry Ellenson,21 January 2019,25 January 2019,4,0,22,6-11,245,0
Dewayne Dedmon,15 January 2019,19 January 2019,4,0,30,7-0,245,0
Henry Ellenson,12 December 2018,19 January 2019,38,0,21,6-11,245,1
Frank Ntilikina,07 January 2019,13 January 2019,6,0,21,6-5,190,0
John Collins,23 December 2018,26 December 2018,3,0,21,6-10,235,0
Brandon Ingram,07 December 2018,21 December 2018,14,0,21,6-9,190,0
J.J. Barea,13 December 2018,18 December 2018,5,0,34,6-0,185,0
Kyle Anderson,15 December 2018,17 December 2018,2,0,25,6-9,230,1
Marquese Chriss,07 December 2018,17 December 2018,10,0,21,6-10,233,0
Reggie Bullock,05 December 2018,15 December 2018,10,0,27,6-7,205,1
Aron Baynes,10 December 2018,12 December 2018,2,0,32,6-10,260,1
Aron Baynes,08 December 2018,10 December 2018,2,0,32,6-10,260,1
Terrance Ferguson,23 November 2018,03 December 2018,10,0,20,6-7,184,0
Avery Bradley,05 November 2018,19 November 2018,14,0,28,6-2,180,0
Russell Westbrook,06 November 2018,17 November 2018,11,0,30,6-3,200,0
Aaron Gordon,11 November 2018,12 November 2018,1,0,23,6-9,220,0
Donovan Mitchell,05 November 2018,07 November 2018,2,0,22,6-3,211,0
Marquese Chriss,16 October 2018,30 October 2018,14,0,21,6-10,233,1
Cristiano Felicio,18 October 2018,24 October 2018,6,0,26,6-10,275,0
George Hill,01 April 2018,09 April 2018,8,0,32,6-3,188,0
Damian Lillard,05 April 2018,07 April 2018,2,0,28,6-3,195,0
James Johnson,04 April 2018,06 April 2018,2,0,31,6-9,250,0
Alex Len,28 March 2018,03 April 2018,6,0,25,7-1,260,0
Domantas Sabonis,15 March 2018,27 March 2018,12,0,22,6-11,240,1
John Collins,19 March 2018,23 March 2018,4,0,21,6-10,235,1
Myles Turner,17 March 2018,19 March 2018,2,0,22,6-11,243,0
Norman Powell,15 March 2018,18 March 2018,3,0,25,6-4,215,0
Anthony Davis,09 March 2018,11 March 2018,2,0,25,6-10,253,0
Russell Westbrook,08 February 2018,13 February 2018,5,0,30,6-3,200,1
