Date,Team,Acquired,Relinquished,Notes
10/3/10,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
10/6/10,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
10/6/10,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
10/8/10,Blazers,,Jeff Ayres,torn ACL in right knee (out indefinitely)
10/8/10,Nets,,Troy Murphy,strained lower back (out indefinitely)
10/8/10,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
10/8/10,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
10/9/10,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
10/12/10,Bucks,,Darington Hobson,surgery on left hip (out for season)
10/12/10,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
10/17/10,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
10/18/10,Warriors,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
10/19/10,Suns,,Josh Childress,fractured right index finger (out indefinitely)
10/22/10,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
10/25/10,Thunder,,Nick Collison,left knee injury (out indefinitely)
10/25/10,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
10/26/10,Blazers,,Elliot Williams,placed on IL
10/26/10,Blazers,,Greg Oden,placed on IL with left knee injury (out for season)
10/26/10,Blazers,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon
10/26/10,Celtics,,Avery Bradley,placed on IL recovering from surgery on left ankle
10/26/10,Celtics,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL
10/26/10,Celtics,,Luke Harangody,placed on IL
10/26/10,Heat,,Dexter Pittman,placed on IL
10/26/10,Heat,,Jerry Stackhouse,placed on IL
10/26/10,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
10/26/10,Heat,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage
10/26/10,Lakers,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments
10/26/10,Lakers,,Luke Walton,placed on IL with strained right hamstring
10/26/10,Rockets,,Jermaine Taylor,placed on IL
10/26/10,Rockets,,Kyle Lowry,placed on IL with back spasms
10/26/10,Rockets,,Patrick Patterson,placed on IL
10/26/10,Suns,,Gani Lawal,placed on IL
10/26/10,Suns,,Matt Janning,placed on IL
10/27/10,76ers,,Craig Brackins,placed on IL
10/27/10,76ers,,Jodie Meeks,placed on IL
10/27/10,Bobcats,,Dominic McGuire,placed on IL with stress fracture in left shin
10/27/10,Bobcats,,Eduardo Najera,placed on IL with sports hernia
10/27/10,Bobcats,,Kwame Brown,placed on IL with sprained left ankle
10/27/10,Bucks,,Chris Douglas-Roberts,placed on IL with right eye injury
10/27/10,Bucks,,Jon Brockman,sprained left ankle (DNP)
10/27/10,Bucks,,Luc Mbah a Moute,sprained right ankle (DNP)
10/27/10,Bucks,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL
10/27/10,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger
10/27/10,Cavaliers,,Christian Eyenga,placed on IL
10/27/10,Cavaliers,,Mo Williams,placed on IL with groin injury
10/27/10,Cavaliers,,Samardo Samuels,placed on IL
10/27/10,Clippers,,Craig Smith,placed on IL with back injury
10/27/10,Clippers,,Willie Warren,placed on IL
10/27/10,Grizzlies,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur
10/27/10,Grizzlies,,Marc Gasol,placed on IL with sprained right ankle / left ankle
10/27/10,Hawks,,Etan Thomas,placed on IL
10/27/10,Hawks,,Pape Sy,placed on IL with strained lower back
10/27/10,Heat,,Jamaal Magloire,placed on IL
10/27/10,Heat,Jerry Stackhouse,,activated from IL
10/27/10,Hornets,,Aaron Gray,placed on IL
10/27/10,Hornets,,Joe Alexander,placed on IL
10/27/10,Hornets,,Quincy Pondexter,placed on IL
10/27/10,Jazz,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon
10/27/10,Kings,,Antoine Wright,placed on IL
10/27/10,Kings,,Samuel Dalembert,placed on IL with strained left abductor
10/27/10,Knicks,,Anthony Randolph,placed on IL with sprained left ankle
10/27/10,Knicks,,Eddy Curry,placed on IL with strained right hamstring
10/27/10,Knicks,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee
10/27/10,Mavericks,,Alex Ajinca,placed on IL
10/27/10,Mavericks,,Rodrigue Beaubois,placed on IL with fractured left foot
10/27/10,Mavericks,,Steve Novak,placed on IL
10/27/10,Nets,,Ben Uzoh,placed on IL
10/27/10,Nets,,Quinton Ross,placed on IL
10/27/10,Nets,,Troy Murphy,placed on IL with strained lower back
10/27/10,Nuggets,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon
10/27/10,Nuggets,,Kenyon Martin,placed on IL recovering from surgery on left knee
10/27/10,Pacers,,A.J. Price,placed on IL
10/27/10,Pacers,,Dahntay Jones,placed on IL
10/27/10,Pacers,,Lance Stephenson,placed on IL
10/27/10,Pistons,,Chris Wilcox,placed on IL with sore left hamstring
10/27/10,Pistons,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season)
10/27/10,Pistons,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season)
10/27/10,Raptors,,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus
10/27/10,Raptors,,Marcus Banks,placed on IL
10/27/10,Raptors,,Solomon Alabi,placed on IL
10/27/10,Rockets,,Yao Ming,placed on IL
10/27/10,Rockets,Jermaine Taylor,,activated from IL
10/27/10,Spurs,,Alonzo Gee,placed on IL
10/27/10,Spurs,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC)
10/27/10,Thunder,,B.J. Mullens,placed on IL
10/27/10,Thunder,,Morris Peterson,placed on IL
10/27/10,Thunder,,Nick Collison,placed on IL with stress reaction in lower left leg
10/27/10,Timberwolves,,Jonny Flynn,placed on IL recovering from surgery on left hip
10/27/10,Timberwolves,,Martell Webster,placed on IL recovering from surgery on back
10/27/10,Timberwolves,,Maurice Ager,placed on IL with bruised left quadriceps
10/27/10,Warriors,,Ekpe Udoh,placed on IL recovering from surgery on left wrist
10/27/10,Warriors,,Jeremy Lin,placed on IL
10/27/10,Warriors,,Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger
10/28/10,Grizzlies,,Zach Randolph,back injury (DTD)
10/28/10,Hawks,,Maurice Evans,right knee inflammation (DTD)
10/28/10,Magic,,Daniel Orton,placed on IL
10/28/10,Magic,,Malik Allen,placed on IL
10/28/10,Spurs,,Matt Bonner,sprained right ankle (DTD)
10/28/10,Wizards,,Gilbert Arenas,placed on IL with sprained right ankle
10/28/10,Wizards,,Josh Howard,placed on IL with torn ACL in left knee
10/28/10,Wizards,,Kevin Seraphin,placed on IL
