PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Seth Curry,76ers,19 March 2021,25 March 2021,6,Sprained Left Ankle
Garrett Temple,Bulls,13 March 2021,24 March 2021,11,Sprained Left Ankle
Myles Turner,Pacers,22 March 2021,24 March 2021,2,Sprained Left Ankle
Ben McLemore,Rockets,16 March 2021,19 March 2021,3,Sprained Left Ankle
Jordan Nwora,Bucks,12 February 2021,13 March 2021,29,Sprained Left Ankle
Aaron Gordon,Magic,01 February 2021,11 March 2021,38,Sprained Left Ankle
Taj Gibson,Knicks,28 February 2021,11 March 2021,11,Sprained Left Ankle
Maxi Kleber,Mavericks,23 February 2021,25 February 2021,2,Sprained Left Ankle
Goran Dragic,Heat,06 February 2021,24 February 2021,18,Sprained Left Ankle
Jarrett Culver,Timberwolves,26 January 2021,24 February 2021,29,Sprained Left Ankle
Kevon Looney,Warriors,03 February 2021,23 February 2021,20,Sprained Left Ankle
Shake Milton,76ers,11 February 2021,21 February 2021,10,Sprained Left Ankle
Yuta Watanabe,Raptors,10 February 2021,18 February 2021,8,Sprained Left Ankle
Dario Saric,Suns,05 February 2021,13 February 2021,8,Sprained Left Ankle
DaQuan Jeffries,Kings,30 December 2020,12 February 2021,44,Sprained Left Ankle
David Nwaba,Rockets,31 January 2021,06 February 2021,6,Sprained Left Ankle
Ty Jerome,Thunder,22 December 2020,03 February 2021,43,Sprained Left Ankle
Rajon Rondo,Hawks,27 January 2021,29 January 2021,2,Sprained Left Ankle
Nick Richards,Hornets,25 January 2021,27 January 2021,2,Sprained Left Ankle
Alec Burks,Knicks,02 January 2021,21 January 2021,19,Sprained Left Ankle
Frank Jackson,Pistons,16 January 2021,20 January 2021,4,Sprained Left Ankle
Tacko Fall,Celtics,17 January 2021,19 January 2021,2,Sprained Left Ankle
Jalen Lecque,Pacers,05 January 2021,17 January 2021,12,Sprained Left Ankle
Ja Morant,Grizzlies,29 December 2020,16 January 2021,18,Sprained Left Ankle
